Place,Count,lat,long
"Woods Hole, MA",2,41.5227,-70.6578
"Leigh, New Zealand",1,-36.26938,174.79819
"Santa Barbara, CA",14,34.42083,-119.698189
"Montpellier, France",1,43.6119,3.8772
"Perpignan, France",2,42.698601,2.8956
"Port Aransas, Texas",2,27.833916,-97.061096
"Vancouver, CA",12,49.246292,-123.116226
"Gothenburg, Sweden",2,57.70887,11.97456
"Carleton, Ontario",4,45.13341,-76.14938
"Copenhagen, Denmark",2,55.6761,12.5683
"Honolulu, HI",2,21.315603,-157.858093
Vancouver Island,3,48.8333,-125.1428
Moorea,3,-17.4939,-149.8223
"Duluth, Minnesota",1,46.7867,-92.1005
"San Luis Obispo, CA",2,35.2828,-120.6596
"Gainesville, FL",1,29.641108,-82.328698